Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Personal;Nombre corto del Préstamo Personal;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
55163;FF Capital Group S.A.;2024-05-30;PRESTAMO PERSONAL;PP2;Pesos;25000;1000;9;8000;6;75;35,00;Todos los beneficiarios;,00;868,80;Fija;269,50;2450,00;Todo el territorio nacional;0
55166;Waynicoin S.A.;2025-01-22;PRESTAMO PERSONAL;PRESTAMO PERSONAL;Pesos;1500000;3000;12;0;0;70;,00;Todos los beneficiarios;,00;4692,00;Fija;9315,00;3602,00;Todo el territorio nacional;0
55200;Cooperativa de Vivienda, Crédito y Consumo para el Desarrollo Ltda (CODESA);2021-08-23;PRESTAMOS AL PERSONAL AMF;PERSONALES;Pesos;600000;10600;24;0;12;0;30,00;Personas humanas en relación de dependencia;,00;62,50;Fija;62,50;739,47;Todo el territorio nacional;0
55201;Credit & Investment SRL;2022-08-11;INTERES DIRECTO;001;Pesos;1000000;10000;36;80000;0;65;30,00;Todos los beneficiarios;,00;213,84;Fija;213,84;1050,00;Todo el territorio nacional;
55213;Multiplycard S.A.;2022-03-07;LINEA DE PRESTAMOS PERSONALES GBA;PRESTAMOS GBA;Pesos;150000;1000;24;0;0;100;25,00;Todos los beneficiarios;,00;310,98;Fija;376,29;1535,00;Todo el territorio nacional;PRESTAMOS A SOLA FIRMA
55216;Finsol Microcreditos S.A.;2022-03-10;UNT TA 18-23 VS36;UNTTA18-23VS36;Pesos;250000;7500;23;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;134,00;Fija;134,00;1223,90;Provincia de Tucumán;COBRO POR DESCUENTO DE HABERES
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXV 1M VS1 ID 133;ADELXXV1VS1ID133;Pesos;5000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;370,00;Fija;370,00;13083,33;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;UNT TB 12-14 VS36;UNTTB12-14VS36;Pesos;250000;7500;14;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;120,50;Fija;120,50;1360,55;Provincia de Tucumán;COBRO POR DESCUENTO DE HABERES
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO X 1M VS1 ID 118;ADELX1VS1ID118;Pesos;10000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;195,00;Fija;195,00;11625,00;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;LILLO TB 15-17 VS36;LILLOTB15-17VS36;Pesos;250000;7500;17;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;120,50;Fija;120,50;1249,86;Provincia de Tucumán;COBRO POR DESCUENTO DE HABERES
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXI 1M VS1 ID 129;ADELXXI1VS1ID129;Pesos;5000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;300,00;Fija;300,00;12500,00;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;UNT TB 18-23 VS36;UNTTB18-23VS36;Pesos;250000;7500;23;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;120,00;Fija;120,00;1125,72;Provincia de Tucumán;COBRO POR DESCUENTO DE HABERES
55216;Finsol Microcreditos S.A.;2022-03-10;CBU NACION G1 12 VS12 JUBILADOS;CBUNACG112VS12JUB;Pesos;40000;7500;12;0;12;73;30,00;Clientes que acrediten sueldos en la entidad;30,00;263,00;Fija;263,00;2415,68;Todo el territorio nacional;COBRO POR DEBITO AUTOMATICO DE BANCO NACION
55216;Finsol Microcreditos S.A.;2022-03-10;LILLO TA 12-17 VS36;LILLOTA12-17VS36;Pesos;250000;7500;17;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;137,00;Fija;137,00;1357,78;Provincia de Tucumán;COBRO POR DESCUENTO DE HABERES
55216;Finsol Microcreditos S.A.;2022-03-10;CBU NACION G1 18 VS12;CBUNACG118VS12;Pesos;40000;7500;18;0;12;59;30,00;Clientes que acrediten sueldos en la entidad;30,00;232,00;Fija;232,00;2017,09;Todo el territorio nacional;COBRO POR DEBITO AUTOMATICO DE BANCO NACION
55216;Finsol Microcreditos S.A.;2022-03-10;UNT TA 24-36 VS36;UNTTA24-36VS36;Pesos;250000;7500;36;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;134,00;Fija;134,00;1141,93;Provincia de Tucumán;COBRO POR DESCUENTO DE HABERES
55216;Finsol Microcreditos S.A.;2022-03-10;CBU NACION G1 18 VS12 PREAPROBADOS;CBUNACG118VS12PREAP;Pesos;40000;7500;18;0;12;59;30,00;Clientes que acrediten sueldos en la entidad;30,00;232,00;Fija;232,00;2017,09;Todo el territorio nacional;COBRO POR DEBITO AUTOMATICO DE BANCO NACION
55216;Finsol Microcreditos S.A.;2022-03-10;UNT TA 12-17 VS36;UNTTA12-17VS36;Pesos;250000;7500;17;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;137,00;Fija;137,00;1357,78;Provincia de Tucumán;COBRO POR DESCUENTO DE HABERES
55216;Finsol Microcreditos S.A.;2022-03-10;CBU NACION G1 15-17 VS12 PREAPROBADOS;CBUNACG115-17VS12PREAP;Pesos;40000;7500;17;0;12;59;30,00;Clientes que acrediten sueldos en la entidad;30,00;244,00;Fija;244,00;2124,69;Todo el territorio nacional;COBRO POR DEBITO AUTOMATICO DE BANCO NACION
55216;Finsol Microcreditos S.A.;2022-03-10;UNT TB 15-17 VS36;UNTTB15-17VS36;Pesos;250000;7500;17;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;120,50;Fija;120,50;1249,86;Provincia de Tucumán;COBRO POR DESCUENTO DE HABERES
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXIII 1M VS1 ID 131;ADELXXIII1VS1ID131;Pesos;5000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;330,00;Fija;330,00;12750,00;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;LILLO TB 12-14 VS36;LILLOTB12-14VS36;Pesos;250000;7500;14;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;120,50;Fija;120,50;1360,55;Provincia de Tucumán;COBRO POR DESCUENTO DE HABERES
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXIV 1M VS1 ID 132;ADELXXIV1VS1ID132;Pesos;5000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;350,00;Fija;350,00;12916,67;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;LILLO TB 18-23 VS36;LILLOTB18-23VS36;Pesos;250000;7500;23;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;120,00;Fija;120,00;1125,72;Provincia de Tucumán;COBRO POR DESCUENTO DE HABERES
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XVII 6M VS1 ID 179;ADELXVII6VS1ID179;Pesos;15000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;380,00;Fija;380,00;3918,81;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;UNT TB 24-36 VS36;UNTTB24-36VS36;Pesos;250000;7500;45;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;119,50;Fija;119,50;1009,93;Provincia de Tucumán;COBRO POR DESCUENTO DE HABERES
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XVIII 6M VS1 ID 180;ADELXVIII6VS1ID180;Pesos;15000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;400,00;Fija;400,00;4055,04;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXVII 6M VS1 ID 189;ADELXXVII6VS1ID189;Pesos;7500;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;500,00;Fija;500,00;4754,88;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;CBU NACION G2 15-17 VS12;CBUNACG215-17VS12;Pesos;33000;7500;17;0;12;59;30,00;Clientes que acrediten sueldos en la entidad;30,00;272,00;Fija;272,00;2339,23;Todo el territorio nacional;COBRO POR DEBITO AUTOMATICO DE BANCO NACION
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO VIII 3M VS1 ID 143;ADELVIII3VS1ID143;Pesos;45000;7500;3;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;210,00;Fija;210,00;4562,45;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;CBU NACION G3 18 VS12;CBUNACG318VS12;Pesos;25000;7500;18;0;12;59;30,00;Clientes que acrediten sueldos en la entidad;30,00;302,00;Fija;302,00;2561,72;Todo el territorio nacional;COBRO POR DEBITO AUTOMATICO DE BANCO NACION
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XI 12M VS1 ID 200;ADELXI12VS1ID200;Pesos;30000;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;320,00;Fija;320,00;2832,72;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XII 12M VS1 ID 201;ADELXII12VS1ID201;Pesos;30000;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;340,00;Fija;340,00;2982,80;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XIII 12M VS1 ID 202;ADELXIII12VS1ID202;Pesos;30000;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;360,00;Fija;360,00;3134,54;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;CBU NACION G1 12-14 VS12 PREAPROBADOS;CBUNACG112-14VS12PREAP;Pesos;40000;7500;14;0;12;59;30,00;Clientes que acrediten sueldos en la entidad;30,00;263,00;Fija;263,00;2337,50;Todo el territorio nacional;COBRO POR DEBITO AUTOMATICO DE BANCO NACION
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XIV 12M VS1 ID 203;ADELXIV12VS1ID203;Pesos;30000;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;380,00;Fija;380,00;3287,78;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO VIII 12M VS1 ID 197;ADELVIII12VS1ID197;Pesos;45000;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;270,00;Fija;270,00;2465,95;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO IX 12M VS1 ID 198;ADELIX12VS1ID198;Pesos;30000;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;290,00;Fija;290,00;2611,10;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;CBU NACION G1 15-17 VS12;CBUNACG115-17VS12;Pesos;40000;7500;17;0;12;59;30,00;Clientes que acrediten sueldos en la entidad;30,00;244,00;Fija;244,00;2124,69;Todo el territorio nacional;COBRO POR DEBITO AUTOMATICO DE BANCO NACION
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXVII 12M VS1 ID 216;ADELXXVII12VS1ID216;Pesos;11250;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;550,00;Fija;550,00;4633,41;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;CBU NACION G2 12-14 VS12;CBUNACG212-14VS12;Pesos;33000;7500;14;0;12;59;30,00;Clientes que acrediten sueldos en la entidad;30,00;288,00;Fija;288,00;2524,23;Todo el territorio nacional;COBRO POR DEBITO AUTOMATICO DE BANCO NACION
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XV 12M VS1 ID 204;ADELXV12VS1ID204;Pesos;30000;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;400,00;Fija;400,00;3442,38;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO VIII 6M VS1 ID 170;ADELVIII6VS1ID170;Pesos;45000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;220,00;Fija;220,00;2883,57;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XIX 6M VS1 ID 181;ADELXIX6VS1ID181;Pesos;15000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;420,00;Fija;420,00;4192,60;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO IV 6M VS1 ID 166;ADELIV6VS1ID166;Pesos;60000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;180,00;Fija;180,00;2642,37;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XVII 1M VS1 ID 125;ADELXVII1VS1ID125;Pesos;5000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;260,00;Fija;260,00;12166,67;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XVIII 1M VS1 ID 126;ADELXVIII1VS1ID126;Pesos;5000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;270,00;Fija;270,00;12250,00;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XIX 1M VS1 ID 127;ADELXIX1VS1ID127;Pesos;5000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;280,00;Fija;280,00;12333,33;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XX 1M VS1 ID 128;ADELXX1VS1ID128;Pesos;5000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;290,00;Fija;290,00;12416,67;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XIV 1M VS1 ID 122;ADELXIV1VS1ID122;Pesos;5000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;225,00;Fija;225,00;11875,00;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XII 1M VS1 ID 120;ADELXII1VS1ID120;Pesos;10000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;205,00;Fija;205,00;11708,33;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XI 6M VS1 ID 173;ADELXI6VS1ID173;Pesos;30000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;260,00;Fija;260,00;3132,37;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XIV 6M VS1 ID 176;ADELXIV6VS1ID176;Pesos;22500;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;320,00;Fija;320,00;3518,57;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO I 6M VS1 ID 163;ADELI6VS1ID163;Pesos;75000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;150,00;Fija;150,00;2466,80;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XIII 6M VS1 ID 175;ADELXIII6VS1ID175;Pesos;22500;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;300,00;Fija;300,00;3388,19;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO I 3M VS1 ID 136;ADELI3VS1ID136;Pesos;50000;7500;3;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;150,00;Fija;150,00;4199,31;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXV 3M VS1 ID 160;ADELXXV3VS1ID160;Pesos;6000;7500;3;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;400,00;Fija;400,00;5765,77;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO VII 3M VS1 ID 142;ADELVII3VS1ID142;Pesos;45000;7500;3;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;200,00;Fija;200,00;4501,31;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO III 1M VS1;ADELIII1VS1;Pesos;16667;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;160,00;Fija;160,00;11333,33;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO III 6M VS1 ID 165;ADELIII6VS1ID165;Pesos;75000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;170,00;Fija;170,00;2583,32;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XII 6M VS1 ID 174;ADELXII6VS1ID174;Pesos;30000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;280,00;Fija;280,00;3259,44;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO II 6M VS1 ID 164;ADELII6VS1ID164;Pesos;75000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;160,00;Fija;160,00;2524,80;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;LILLO TA 24-36 VS36;LILLOTA24-36VS36;Pesos;250000;7500;36;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;134,00;Fija;134,00;1141,93;Provincia de Tucumán;COBRO POR DESCUENTO DE HABERES
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XX 6M VS1 ID 182;ADELXX6VS1ID182;Pesos;15000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;440,00;Fija;440,00;4331,41;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXVII 3M VS1 ID 162;ADELXXVII3VS1ID162;Pesos;6000;7500;3;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;450,00;Fija;450,00;6094,32;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO VI 6M VS1 ID 168;ADELVI6VS1ID168;Pesos;45000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;200,00;Fija;200,00;2761,99;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;LILLO TB 24-36 VS36;LILLOTB24-36VS36;Pesos;250000;7500;36;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;119,50;Fija;119,50;1029,60;Provincia de Tucumán;COBRO POR DESCUENTO DE HABERES
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XV 1M VS1 ID 123;ADELXV1VS1ID123;Pesos;5000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;240,00;Fija;240,00;12000,00;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO III 12M VS1 ID 192;ADELIII12VS1ID192;Pesos;50000;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;190,00;Fija;190,00;1910,84;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;LILLO TA 18-23 VS36;LILLOTA18-23VS36;Pesos;250000;7500;23;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;134,00;Fija;134,00;1223,90;Provincia de Tucumán;COBRO POR DESCUENTO DE HABERES
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO X 3M VS1 ID 145;ADELX3VS1ID145;Pesos;30000;7500;3;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;230,00;Fija;230,00;4685,42;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;CBU NACION G3 15-17 VS12;CBUNACG315-17VS12;Pesos;25000;7500;17;0;12;59;30,00;Clientes que acrediten sueldos en la entidad;30,00;310,00;Fija;310,00;2636,36;Todo el territorio nacional;COBRO POR DEBITO AUTOMATICO DE BANCO NACION
55216;Finsol Microcreditos S.A.;2022-03-10;CBU NACION G2 18 VS12;CBUNACG218VS12;Pesos;33000;7500;18;0;12;59;30,00;Clientes que acrediten sueldos en la entidad;30,00;260,00;Fija;260,00;2232,07;Todo el territorio nacional;COBRO POR DEBITO AUTOMATICO DE BANCO NACION
55216;Finsol Microcreditos S.A.;2022-03-10;CBU NACION G3 12 VS12 JUBILADOS;CBUNACG312VS12JUB;Pesos;25000;7500;12;0;12;73;30,00;Clientes que acrediten sueldos en la entidad;30,00;329,00;Fija;329,00;2900,04;Todo el territorio nacional;COBRO POR DEBITO AUTOMATICO DE BANCO NACION
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO X 6M VS1 ID 172;ADELX6VS1ID172;Pesos;30000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;240,00;Fija;240,00;3007,06;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO VII 1M VS1 ID 115;ADELVII1VS1ID115;Pesos;22500;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;180,00;Fija;180,00;11500,00;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO VIII 1M VS1 ID 116;ADELVIII1VS1ID116;Pesos;15000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;185,00;Fija;185,00;11541,67;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO VII 6M VS1 ID 169;ADELVII6VS1ID169;Pesos;45000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;210,00;Fija;210,00;2822,54;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXII 6M VS1 ID 184;ADELXXII6VS1ID184;Pesos;13500;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;465,00;Fija;465,00;4506,62;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO VI 1M VS1 ID 114;ADELVI1VS1ID114;Pesos;15000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;175,00;Fija;175,00;11458,33;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO V 6M VS1 ID 167;ADELV6VS1ID167;Pesos;60000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;190,00;Fija;190,00;2701,93;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXIV 6M VS1 ID 186;ADELXXIV6VS1ID186;Pesos;11250;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;475,00;Fija;475,00;4577,20;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO IX 6M VS1 ID 171;ADELIX6VS1ID171;Pesos;30000;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;230,00;Fija;230,00;2945,08;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO IX 3M VS1 ID 144;ADELIX3VS1ID144;Pesos;30000;7500;3;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;220,00;Fija;220,00;4623,81;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXVI 1M VS1 ID 134;ADELXXVI1VS1ID134;Pesos;5000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;390,00;Fija;390,00;13250,00;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXVII 1M VS1 ID 135;ADELXXVII1VS1ID135;Pesos;5000;7500;1;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;400,00;Fija;400,00;13333,33;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO VI 12M VS1 ID 195;ADELVI12VS1ID195;Pesos;45000;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;230,00;Fija;230,00;2182,84;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XX 12M VS1 ID 209;ADELXX12VS1ID209;Pesos;15000;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;490,00;Fija;490,00;4151,53;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XVII 12M VS1 ID 206;ADELXVII12VS1ID206;Pesos;22500;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;430,00;Fija;430,00;3676,52;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO V 12M VS1 ID 194;ADELV12VS1ID194;Pesos;60000;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;220,00;Fija;220,00;2113,72;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXV 6M VS1 ID 187;ADELXXV6VS1ID187;Pesos;7500;7500;6;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;485,00;Fija;485,00;4648,07;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXI 12M VS1 ID 210;ADELXXI12VS1ID210;Pesos;15000;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;500,00;Fija;500,00;4231,42;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
55216;Finsol Microcreditos S.A.;2022-03-10;ADELANTO XXIII 12M VS1 ID 212;ADELXXIII12VS1ID212;Pesos;13500;7500;12;0;12;59;30,00;Personas humanas en relación de dependencia;30,00;520,00;Fija;520,00;4391,74;Todo el territorio nacional;COBRO POR TARJETA DE DEBITO
